,ingredients,explanation,reference
23489,sodium-bisglycol-ricinosulfosuccinate,"[""ExplainedWe don't have a description for Sodium Bisglycol Ricinosulfosuccinate.""]",[]
23490,sodium-c12-15-pareth-sulfate,['ExplainedSodium C12-15 Pareth Sulfate is a type of sulfate.'],[]
23491,sodium-c11-15-pareth-7-carboxylate,"[""ExplainedWe don't have a description for Sodium C11-15 Pareth-7 Carboxylate.""]",[]
23492,sodium-c12-13-alkyl-sulfate,['ExplainedSodium C12-13 Alkyl Sulfate is a type of sulfate.'],[]
23493,sodium-c12-14-pareth-3-sulfate,['ExplainedSodium C12-14 Pareth-3 Sulfate is a type of sulfate.'],[]
23494,sodium-butylparaben,['ExplainedSodium Butylparaben is a preservative and is a paraben.'],[]
23495,sodium-c16-20-alkyl-sulfate,['ExplainedSodium C16-20 Alkyl Sulfate is a type of sulfate.'],[]
23496,sodium-c9-11-pareth-6-carboxylate,"[""ExplainedWe don't have a description for Sodium C9-11 Pareth-6 Carboxylate.""]",[]
23497,sodium-caproamphopropionate,"[""ExplainedWe don't have a description for Sodium Caproamphopropionate.""]",[]
23498,sodium-c14-18-alkane-sulfonate,"[""ExplainedWe don't have a description for Sodium C14-18 Alkane Sulfonate.""]",[]
23499,cyclopentane-carboxylic-acid,"[""ExplainedWe don't have a description for Cyclopentane Carboxylic Acid.""]",[]
23500,sodium-c9-22-alkyl-sec-sulfonate,"[""ExplainedWe don't have a description for Sodium C9-22 Alkyl Sec Sulfonate.""]",[]
23501,sodium-caprylyl-pg-sulfonate,"[""ExplainedWe don't have a description for Sodium Caprylyl Pg-Sulfonate.""]",[]
23502,sodium-c8-16-isoalkylsuccinyl-soy-sulfonate,"[""ExplainedWe don't have a description for Sodium C8-16 Isoalkylsuccinyl Soy Sulfonate.""]",[]
23503,sodium-capryloyl-glutamate,"[""ExplainedWe don't have a description for Sodium Capryloyl Glutamate.""]",[]
23504,ettlia-texensis-extract,"[""ExplainedWe don't have a description for Ettlia Texensis Extract.""]",[]
23505,sodium-ceteth-4-phosphate,"[""ExplainedWe don't have a description for Sodium Ceteth-4 Phosphate.""]",[]
23506,sodium-carboxymethyl-cocopolypropylamine,"[""ExplainedWe don't have a description for Sodium Carboxymethyl Cocopolypropylamine.""]",[]
23507,sodium-carboxymethyl-dextran,"[""ExplainedWe don't have a description for Sodium Carboxymethyl Dextran.""]",[]
23508,sodium-tridecylbenzenesulfonate,"[""ExplainedWe don't have a description for Sodium Tridecylbenzenesulfonate.""]",[]
23509,sodium-chitosan-cocamide-hydroxypropylsulfonate,"[""ExplainedWe don't have a description for Sodium Chitosan Cocamide Hydroxypropylsulfonate.""]",[]
23510,sodium-cocoamphopropionate,"[""ExplainedWe don't have a description for Sodium Cocoamphopropionate.""]",[]
23511,sodium-citronellate,"[""ExplainedWe don't have a description for Sodium Citronellate.""]",[]
23512,sodium-coco-babassu-andiroba-sulfate,['ExplainedSodium Coco/Babassu/Andiroba Sulfate is a type of sulfate.'],[]
23513,sodium-chlorite,"[""ExplainedWe don't have a description for Sodium Chlorite.""]",[]
23514,trifluoropropyl-dimethicone-vinyl-trifluoropropyl-dimethicone-silsesquioxane-crosspolymer,"[""ExplainedWe don't have a description for Trifluoropropyl Dimethicone/Vinyl Trifluoropropyl Dimethicone/Silsesquioxane Crosspolymer.""]",[]
23515,sodium-cocoyl-glutaminate,"[""ExplainedWe don't have a description for Sodium Cocoyl Glutaminate.""]",[]
23516,sodium-chitosan-stearamide-hydroxypropylsulfonate,"[""ExplainedWe don't have a description for Sodium Chitosan Stearamide Hydroxypropylsulfonate.""]",[]
23517,sodium-cocoyl-barley-amino-acids,"[""ExplainedWe don't have a description for Sodium Cocoyl Barley Amino Acids.""]",[]
23518,sodium-cocoyl-hydrolyzed-royal-jelly,"[""ExplainedWe don't have a description for Sodium Cocoyl Hydrolyzed Royal Jelly.""]",[]
23519,sodium-cocoyl-hydrolyzed-wheat-protein-glutamate,"[""ExplainedWe don't have a description for Sodium Cocoyl Hydrolyzed Wheat Protein Glutamate.""]",[]
23520,trifluoropropyl-methicone,['ExplainedTrifluoropropyl Methicone is a type of silicone.'],[]
23521,trigonella-foenum-symbiosome-extract,['ExplainedTrigonella Foenum Symbiosome Extract is an antioxidant.'],[]
23522,trihydroxychalcone,['ExplainedTrihydroxychalcone is a type of silicone.'],[]
23523,triisopropyl-citrate,"[""ExplainedWe don't have a description for Triisopropyl Citrate.""]",[]
23524,trilaureth-9-citrate,"[""ExplainedWe don't have a description for Trilaureth-9 Citrate.""]",[]
23525,sodium-cocoyl-hydrolyzed-sweet-almond-protein,"[""ExplainedWe don't have a description for Sodium Cocoyl Hydrolyzed Sweet Almond Protein.""]",[]
23526,triisostearin-peg-6-esters,"[""ExplainedWe don't have a description for Triisostearin Peg-6 Esters.""]",[]
23527,trifluoropropyl-dimethiconol,"[""ExplainedWe don't have a description for Trifluoropropyl Dimethiconol.""]",[]
23528,sodium-histidyl-hyaluronate-crosspolymer-3,"[""ExplainedWe don't have a description for Sodium Histidyl Hyaluronate Crosspolymer-3.""]",[]
23529,butyl-ester-of-ethylene-ma-copolymer,"[""ExplainedWe don't have a description for Butyl Ester Of Ethylene/Ma Copolymer.""]",[]
23530,sodium-glucose-6-phosphate,"[""ExplainedWe don't have a description for Sodium Glucose-6 Phosphate.""]",[]
23531,sodium-hexeth-4-carboxylate,"[""ExplainedWe don't have a description for Sodium Hexeth-4 Carboxylate.""]",[]
23532,vitis-labrusca-fruit-extract,"[""ExplainedWe don't have a description for Vitis Labrusca Fruit Extract.""]",[]
23533,sodium-humate,"[""ExplainedWe don't have a description for Sodium Humate.""]",[]
23534,sodium-hydrogenated-tallowate,"[""ExplainedWe don't have a description for Sodium Hydrogenated Tallowate.""]",[]
23535,peg-8-dilaurate,"[""ExplainedPeg-8 Dilaurate isn't fungal acne safe.""]",[]
23536,sodium-hinokitiol,"[""ExplainedWe don't have a description for Sodium Hinokitiol.""]",[]
23537,peg-8-distearate,"[""ExplainedPeg-8 Distearate isn't fungal acne safe.""]",[]
23538,sodium-hydrogenated-cocoyl-methyl-isethionate,"[""ExplainedWe don't have a description for Sodium Hydrogenated Cocoyl Methyl Isethionate.""]",[]
23539,sodium-isosteareth-11-carboxylate,"[""ExplainedWe don't have a description for Sodium Isosteareth-11 Carboxylate.""]",[]
23540,sodium-hyaluronate-ferulate,"[""ExplainedWe don't have a description for Sodium Hyaluronate Ferulate.""]",[]
23541,sodium-hydroxypropyl-oxidized-starch-succinate,"[""ExplainedWe don't have a description for Sodium Hydroxypropyl Oxidized Starch Succinate.""]",[]
23542,sodium-lardate,"[""ExplainedWe don't have a description for Sodium Lardate.""]",[]
23543,sodium-laureth-40-sulfate,['ExplainedSodium Laureth-40 Sulfate is a type of sulfate.'],[]
23544,sodium-isooctylene-ma-copolymer,"[""ExplainedWe don't have a description for Sodium Isooctylene/Ma Copolymer.""]",[]
23545,sodium-lanolate,"[""ExplainedWe don't have a description for Sodium Lanolate.""]",[]
23546,peg-80-sorbitan-laurate,"[""ExplainedPeg-80 Sorbitan Laurate isn't fungal acne safe.""]",[]
23547,sodium-lauroyl-hydroxyethyl-beta-alaninate,"[""ExplainedWe don't have a description for Sodium Lauroyl Hydroxyethyl Beta-Alaninate.""]",[]
23548,sodium-magnesium-aluminum-silicate,"[""ExplainedWe don't have a description for Sodium Magnesium Aluminum Silicate.""]",[]
23549,sodium-lauroyl-glycine-propionate,"[""ExplainedWe don't have a description for Sodium Lauroyl Glycine Propionate.""]",[]
23550,sodium-lauryl-aspartate,"[""ExplainedWe don't have a description for Sodium Lauryl Aspartate.""]",[]
23551,sodium-methyltaurine-cocoyl-methyltaurate,"[""ExplainedWe don't have a description for Sodium Methyltaurine Cocoyl Methyltaurate.""]",[]
23552,sodium-linoleate,"[""ExplainedWe don't have a description for Sodium Linoleate.""]",[]
23553,sodium-lauroyl-silk-amino-acids,"[""ExplainedWe don't have a description for Sodium Lauroyl Silk Amino Acids.""]",[]
23554,tris-ppg-3-benzyl-ether-citrate,"[""ExplainedWe don't have a description for Tris(Ppg-3 Benzyl Ether) Citrate.""]",[]
23555,sodium-methoxy-ppg-2-acetate,"[""ExplainedWe don't have a description for Sodium Methoxy Ppg-2 Acetate.""]",[]
23556,sodium-methyltaurate-isopalmitamide,"[""ExplainedWe don't have a description for Sodium Methyltaurate Isopalmitamide.""]",[]
23557,pentaclethra-macroloba-seed-oil-behenic-acid-aminopropanediol-amides-esters,['ExplainedPentaclethra Macroloba Seed Oil/Behenic Acid/Aminopropanediol Amides/Esters is an oil.'],[]
23558,sodium-methyl-myristate-sulfonate,"[""ExplainedWe don't have a description for Sodium Methyl Myristate Sulfonate.""]",[]
23559,sodium-myristoyl-hydrolyzed-collagen,['ExplainedSodium Myristoyl Hydrolyzed Collagen can help to reduce the effects of aging.'],[]
23560,cyclotrisiloxane,['ExplainedCyclotrisiloxane is a type of silicone.'],[]
23561,sodium-oleoyl-hydrolyzed-collagen,['ExplainedSodium Oleoyl Hydrolyzed Collagen can help to reduce the effects of aging.'],[]
23562,sodium-oleoyl-isethionate,"[""ExplainedWe don't have a description for Sodium Oleoyl Isethionate.""]",[]
23563,sodium-olivamidopropyl-pg-dimonium-chloride-phosphate,"[""ExplainedWe don't have a description for Sodium Olivamidopropyl Pg-Dimonium Chloride Phosphate.""]",[]
23564,sodium-oxidized-starch-acetate-succinate,"[""ExplainedWe don't have a description for Sodium Oxidized Starch Acetate/Succinate.""]",[]
23565,sodium-palmitoyl-hydrolyzed-wheat-protein,"[""ExplainedWe don't have a description for Sodium Palmitoyl Hydrolyzed Wheat Protein.""]",[]
23566,sodium-pantetheine-sulfonate,"[""ExplainedWe don't have a description for Sodium Pantetheine Sulfonate.""]",[]
23567,sodium-n-isostearoyl-methyltaurate,"[""ExplainedWe don't have a description for Sodium N-Isostearoyl Methyltaurate.""]",[]
23568,thiodiglycolamide,['ExplainedThiodiglycolamide is an antioxidant.'],[]
23569,saccharomyces-panax-ginseng-flower-ferment-extract,['ExplainedSaccharomyces/Panax Ginseng Flower Ferment Extract is an antioxidant.'],[]
23570,sodium-pca-methylsilanol,"[""ExplainedWe don't have a description for Sodium PCA Methylsilanol.""]",[]
23571,sodium-ppg-16-peg-2-lauryl-ether-sulfate,['ExplainedSodium Ppg-16/Peg-2 Lauryl Ether Sulfate is a type of sulfate.'],[]
23572,sodium-perborate,"[""ExplainedWe don't have a description for Sodium Perborate.""]",[]
23573,sodium-persulfate,['ExplainedSodium Persulfate is a type of sulfate.'],[]
23574,sodium-phenylacetyl-isoglutamine,"[""ExplainedWe don't have a description for Sodium Phenylacetyl Isoglutamine.""]",[]
23575,sodium-phosphinate,['ExplainedSodium Phosphinate is an antioxidant.'],[]
23576,polygonatum-odoratum-rhizome-powder,"[""ExplainedWe don't have a description for Polygonatum Odoratum Rhizome Powder.""]",[]
23577,sodium-scymnol-sulfate,['ExplainedSodium Scymnol Sulfate is a type of sulfate.'],[]
23578,sodium-pvm-ma-decadiene-crosspolymer,"[""ExplainedWe don't have a description for Sodium Pvm/Ma/Decadiene Crosspolymer.""]",[]
23579,sodium-soyate,"[""ExplainedWe don't have a description for Sodium Soyate.""]",[]
23580,sodium-rosinate,"[""ExplainedWe don't have a description for Sodium Rosinate.""]",[]
23581,sodium-sesquicarbonate,"[""ExplainedWe don't have a description for Sodium Sesquicarbonate.""]",[]
23582,sodium-stearoyl-hydrolyzed-wheat-protein,"[""ExplainedWe don't have a description for Sodium Stearoyl Hydrolyzed Wheat Protein.""]",[]
23583,sodium-stearoyl-lactalbumin,"[""ExplainedWe don't have a description for Sodium Stearoyl Lactalbumin.""]",[]
23584,sodium-silicoaluminate,['ExplainedSodium Silicoaluminate is an exfoliant.'],[]
23585,sodium-stearoyl-casein,"[""ExplainedWe don't have a description for Sodium Stearoyl Casein.""]",[]
23586,sodium-tallate,"[""ExplainedWe don't have a description for Sodium Tallate.""]",[]
23587,sodium-stearoyl-methyl-isethionate,"[""ExplainedWe don't have a description for Sodium Stearoyl Methyl Isethionate.""]",[]
23588,sodium-stearyl-fumarate,"[""ExplainedWe don't have a description for Sodium Stearyl Fumarate.""]",[]
23589,sodium-succinoyl-hydrolyzed-collagen,['ExplainedSodium Succinoyl Hydrolyzed Collagen can help to reduce the effects of aging.'],[]
23590,sodium-sweet-almondate,"[""ExplainedWe don't have a description for Sodium Sweet Almondate.""]",[]
23591,trifolium-pratense-flower-leaf-stem-juice,"[""ExplainedWe don't have a description for Trifolium Pratense Flower/Leaf/Stem Juice.""]",[]
23592,sodium-tridecyl-sulfate,['ExplainedSodium Tridecyl Sulfate is a type of sulfate.'],[]
23593,sodium-taurine-laurate,"[""ExplainedWe don't have a description for Sodium Taurine Laurate.""]",[]
23594,sodium-trideceth-12-carboxylate,"[""ExplainedWe don't have a description for Sodium Trideceth-12 Carboxylate.""]",[]
23595,sodium-undecylenate,['ExplainedSodium Undecylenate is a preservative.'],[]
23596,sodium-urocanate,"[""ExplainedWe don't have a description for Sodium Urocanate.""]",[]
23597,orchis-maculata-flower-leaf-stem-water,['ExplainedOrchis Maculata Flower/Leaf/Stem Water is a fragrance.'],[]
23598,siphonostegia-chinensis-extract,"[""ExplainedWe don't have a description for Siphonostegia Chinensis Extract.""]",[]
23599,peg-ppg-15-15-allyl-ether-acetate,"[""ExplainedWe don't have a description for Peg/Ppg-15/15 Allyl Ether Acetate.""]",[]
23600,schizothrix-calcicola-extract,"[""ExplainedWe don't have a description for Schizothrix Calcicola Extract.""]",[]
23601,sciadopitys-verticillata-wood-oil,['ExplainedSciadopitys Verticillata Wood Oil is an oil.'],[]
23602,sh-oligopeptide-73,['ExplainedSh-Oligopeptide-73 is a peptide.'],[]
23603,secale-cereale-seed-flour,['ExplainedSecale Cereale Seed Flour is an exfoliant.'],[]
23604,grifola-frondosa-inonotus-obliquus-schizophyllum-commune-tricholoma-matsutake-mycelium-lethariella-cladonioides-ferment-extract-filtrate,"[""ExplainedWe don't have a description for (Grifola Frondosa/Inonotus Obliquus/Schizophyllum Commune/Tricholoma Matsutake) Mycelium/Lethariella Cladonioides Ferment Extract Filtrate.""]",[]
23605,scyllii-pellis-extract,"[""ExplainedWe don't have a description for Scyllii Pellis Extract.""]",[]
23606,scoparia-dulcis-extract,"[""ExplainedWe don't have a description for Scoparia Dulcis Extract.""]",[]
23607,scutellaria-galericulata-leaf,"[""ExplainedWe don't have a description for Scutellaria Galericulata Leaf.""]",[]
23608,scirpus-tabernaemontani-extract,"[""ExplainedWe don't have a description for Scirpus Tabernaemontani Extract.""]",[]
23609,sclerocarya-birrea-seed-powder,['ExplainedSclerocarya Birrea Seed Powder is an exfoliant.'],[]
23610,sea-anemone-extract,"[""ExplainedWe don't have a description for Sea Anemone Extract.""]",[]
23611,sec-butyl-acetate,"[""ExplainedWe don't have a description for Sec-Butyl Acetate.""]",[]
23612,sea-snake-lipids,"[""ExplainedWe don't have a description for Sea Snake Lipids.""]",[]
23613,sec-butyl-methacrylate,"[""ExplainedWe don't have a description for Sec-Butyl Methacrylate.""]",[]
23614,secale-cereale-phytoplacenta-culture-extract-filtrate,"[""ExplainedWe don't have a description for Secale Cereale Phytoplacenta Culture Extract Filtrate.""]",[]
23615,sechium-edule-fruit-juice,"[""ExplainedWe don't have a description for Sechium Edule Fruit Juice.""]",[]
23616,sedum-kamtschaticum-leaf-extract,['ExplainedSedum Kamtschaticum Leaf Extract is an antioxidant.'],[]
23617,sedum-takesimense-leaf-stem-extract,"[""ExplainedWe don't have a description for Sedum Takesimense Leaf/Stem Extract.""]",[]
23618,sh-oligopeptide-82-amide,['ExplainedSh-Oligopeptide-82 Amide is a peptide.'],[]
23619,selaginella-involvens-extract,"[""ExplainedWe don't have a description for Selaginella Involvens Extract.""]",[]
23620,semiaquilegia-adoxoides-root-extract,"[""ExplainedWe don't have a description for Semiaquilegia Adoxoides Root Extract.""]",[]
23621,senecio-vulgaris-extract,"[""ExplainedWe don't have a description for Senecio Vulgaris Extract.""]",[]
23622,serenoa-serrulata-fruit-water,"[""ExplainedWe don't have a description for Serenoa Serrulata Fruit Water.""]",[]
23623,trifluoromethylbipyridyl-bromobenzimidazole,"[""ExplainedWe don't have a description for Trifluoromethylbipyridyl Bromobenzimidazole.""]",[]
23624,sesquioctyldodecyl-lauroyl-glutamate,"[""ExplainedWe don't have a description for Sesquioctyldodecyl Lauroyl Glutamate.""]",[]
23625,sesamide-dipa,"[""ExplainedWe don't have a description for Sesamide Dipa.""]",[]
23626,sesbania-grandiflora-flower-extract,"[""ExplainedWe don't have a description for Sesbania Grandiflora Flower Extract.""]",[]
23627,sh-decapeptide-1-sh-polypeptide-11,['ExplainedSh-Decapeptide-1 Sh-Polypeptide-11 is a peptide.'],[]
23628,dodecanedioic-acid-cetearyl-alcohol-glycol-copolymer,"[""ExplainedWe don't have a description for Dodecanedioic Acid/Cetearyl Alcohol/Glycol Copolymer.""]",[]
23629,sh-decapeptide-2,['ExplainedSh-Decapeptide-2 is a peptide.'],[]
23630,sh-heptapeptide-8-sp,['ExplainedSh-Heptapeptide-8 Sp is a peptide.'],[]
23631,sh-decapeptide-3,['ExplainedSh-Decapeptide-3 is a peptide.'],[]
23632,sh-decapeptide-6-sp,['ExplainedSh-Decapeptide-6 Sp is a peptide.'],[]
23633,sh-ds-phosphorothioate-rna-2-cholesterol,"[""ExplainedWe don't have a description for Sh-Ds Phosphorothioate Rna-2 Cholesterol.""]",[]
23634,sh-hexapeptide-1,['ExplainedSh-Hexapeptide-1 is a peptide.'],[]
23635,peg-10-glyceryl-stearate,"[""ExplainedPeg-10 Glyceryl Stearate isn't fungal acne safe.""]",[]
23636,sh-hexapeptide-43,['ExplainedSh-Hexapeptide-43 is a peptide.'],[]
23637,sh-nonapeptide-3,['ExplainedSh-Nonapeptide-3 is a peptide.'],[]
23638,sh-nonapeptide-6,['ExplainedSh-Nonapeptide-6 is a peptide.'],[]
23639,sh-octapeptide-5-sp,['ExplainedSh-Octapeptide-5 Sp is a peptide.'],[]
23640,sh-oligopeptide-1-nonapeptide-29,['ExplainedSh-Oligopeptide-1 Nonapeptide-29 is a peptide.'],[]
23641,sh-oligopeptide-1-sr-ocean-pout-oligopeptide-1-dipeptide-39,['ExplainedSh-Oligopeptide-1 Sr-Ocean Pout Oligopeptide-1 Dipeptide-39 is a peptide.'],[]
23642,sh-oligopeptide-13,['ExplainedSh-Oligopeptide-13 is a peptide.'],[]
23643,sh-oligopeptide-86,['ExplainedSh-Oligopeptide-86 is a peptide.'],[]
23644,trifluoromethylphenethyl-mesalazine,"[""ExplainedWe don't have a description for Trifluoromethylphenethyl Mesalazine.""]",[]
23645,sh-oligopeptide-20-sp,['ExplainedSh-Oligopeptide-20 Sp is a peptide.'],[]
23646,sh-oligopeptide-23-sp,['ExplainedSh-Oligopeptide-23 Sp is a peptide.'],[]
23647,sh-oligopeptide-28-aminobutyroyl-sh-decapeptide-6-sp,['ExplainedSh-Oligopeptide-28 Aminobutyroyl Sh-Decapeptide-6 Sp is an antioxidant and is a peptide.'],[]
23648,sh-oligopeptide-27-sp,['ExplainedSh-Oligopeptide-27 Sp is a peptide.'],[]
23649,sh-oligopeptide-29-sp,['ExplainedSh-Oligopeptide-29 Sp is a peptide.'],[]
23650,sh-oligopeptide-30-sp,['ExplainedSh-Oligopeptide-30 Sp is a peptide.'],[]
23651,sh-oligopeptide-6,['ExplainedSh-Oligopeptide-6 is a peptide.'],[]
23652,sh-oligopeptide-83,['ExplainedSh-Oligopeptide-83 is a peptide.'],[]
23653,peg-1m,"[""ExplainedWe don't have a description for Peg-1m.""]",[]
23654,sh-oligopeptide-74,['ExplainedSh-Oligopeptide-74 is a peptide.'],[]
23655,sh-oligopeptide-76,['ExplainedSh-Oligopeptide-76 is a peptide.'],[]
23656,sh-oligopeptide-77,['ExplainedSh-Oligopeptide-77 is a peptide.'],[]
23657,peg-2-cocamide,"[""ExplainedWe don't have a description for Peg-2 Cocamide.""]",[]
23658,sh-oligopeptide-83-amide,['ExplainedSh-Oligopeptide-83 Amide is a peptide.'],[]
23659,sh-oligopeptide-89-sp,['ExplainedSh-Oligopeptide-89 Sp is a peptide.'],[]
23660,sh-oligopeptide-94-sp,['ExplainedSh-Oligopeptide-94 Sp is a peptide.'],[]
23661,sh-oligopeptide-97-sp,['ExplainedSh-Oligopeptide-97 Sp is a peptide.'],[]
23662,sh-pentapeptide-12-sp,['ExplainedSh-Pentapeptide-12 Sp is a peptide.'],[]
23663,sh-pentapeptide-40,['ExplainedSh-Pentapeptide-40 is a peptide.'],[]
23664,sh-pentapeptide-3,['ExplainedSh-Pentapeptide-3 is a peptide.'],[]
23665,trifluoropropyl-dimethicone-peg-10-crosspolymer,"[""ExplainedWe don't have a description for Trifluoropropyl Dimethicone/Peg-10 Crosspolymer.""]",[]
23666,sh-polypeptide-103,['ExplainedSh-Polypeptide-103 is a peptide.'],[]
23667,sh-polypeptide-105,['ExplainedSh-Polypeptide-105 is a peptide.'],[]
23668,sh-polypeptide-106,['ExplainedSh-Polypeptide-106 is a peptide.'],[]
23669,peg-4-distearyl-ether,"[""ExplainedWe don't have a description for Peg-4 Distearyl Ether.""]",[]
23670,sh-polypeptide-110,['ExplainedSh-Polypeptide-110 is a peptide.'],[]
23671,sh-polypeptide-112,['ExplainedSh-Polypeptide-112 is a peptide.'],[]
23672,sh-polypeptide-113,['ExplainedSh-Polypeptide-113 is a peptide.'],[]
23673,dodecenyl-oleylsuccinamide,"[""ExplainedWe don't have a description for Dodecenyl Oleylsuccinamide.""]",[]
23674,sh-polypeptide-127,['ExplainedSh-Polypeptide-127 is a peptide.'],[]
23675,shikimoyl-sh-pentapeptide-5,['ExplainedShikimoyl Sh-Pentapeptide-5 is a peptide.'],[]
23676,sh-polypeptide-35,['ExplainedSh-Polypeptide-35 is a peptide.'],[]
23677,sh-polypeptide-2-sr-egyptian-scorpion-oligopeptide-1,['ExplainedSh-Polypeptide-2 Sr-Egyptian Scorpion Oligopeptide-1 is a peptide.'],[]
23678,sh-polypeptide-26,['ExplainedSh-Polypeptide-26 is a peptide.'],[]
23679,sh-polypeptide-73,['ExplainedSh-Polypeptide-73 is a peptide.'],[]
23680,sh-spinorphin-sp,"[""ExplainedWe don't have a description for Sh-Spinorphin Sp.""]",[]
23681,trifluoropropyl-cyclotrisiloxane,['ExplainedTrifluoropropyl Cyclotrisiloxane is a type of silicone.'],[]
23682,sh-polypeptide-37,['ExplainedSh-Polypeptide-37 is a peptide.'],[]
23683,sh-polypeptide-42,['ExplainedSh-Polypeptide-42 is a peptide.'],[]
23684,sh-polypeptide-43,['ExplainedSh-Polypeptide-43 is a peptide.'],[]
23685,sh-polypeptide-50-sh-polypeptide-56,['ExplainedSh-Polypeptide-50 Sh-Polypeptide-56 is a peptide.'],[]
23686,sh-polypeptide-54,['ExplainedSh-Polypeptide-54 is a peptide.'],[]
23687,butyl-cinnamate,['ExplainedButyl Cinnamate is a fragrance.'],[]
23688,nicotiana-benthamiana-hexapeptide-40-sh-oligopeptide-1,['ExplainedNicotiana Benthamiana Hexapeptide-40 Sh-Oligopeptide-1 is a peptide.'],[]
23689,sh-polypeptide-70,['ExplainedSh-Polypeptide-70 is a peptide.'],[]
23690,sh-polypeptide-69,['ExplainedSh-Polypeptide-69 is a peptide.'],[]
23691,sh-polypeptide-7-sh-oligopeptide-1,['ExplainedSh-Polypeptide-7 Sh-Oligopeptide-1 is a peptide.'],[]
23692,sh-polypeptide-80,['ExplainedSh-Polypeptide-80 is a peptide.'],[]
23693,dihydrogenated-tallow-benzylmonium-chloride,"[""ExplainedWe don't have a description for Dihydrogenated Tallow Benzylmonium Chloride.""]",[]
23694,sh-polypeptide-81,['ExplainedSh-Polypeptide-81 is an antioxidant and is a peptide.'],[]
23695,sh-polypeptide-92,['ExplainedSh-Polypeptide-92 is a peptide.'],[]
23696,sh-polypeptide-67,['ExplainedSh-Polypeptide-67 is an antioxidant and is a peptide.'],[]
23697,sh-tetrapeptide-39,['ExplainedSh-Tetrapeptide-39 is a peptide.'],[]
23698,sh-tripeptide-1,['ExplainedSh-Tripeptide-1 is a peptide.'],[]
23699,sh-s-mouse-polypeptide-1,['ExplainedSh/S-Mouse Polypeptide-1 is a peptide.'],[]
23700,tris-n-hydroxyethyl-hexahydrotriazine,"[""ExplainedWe don't have a description for Tris(N-Hydroxyethyl) Hexahydrotriazine.""]",[]
23701,shellac-wax,"[""ExplainedWe don't have a description for Shellac Wax.""]",[]
23702,sheep-milk,"[""ExplainedWe don't have a description for Sheep Milk.""]",[]
23703,sheep-skin-lysate,"[""ExplainedWe don't have a description for Sheep Skin Lysate.""]",[]
23704,sheep-dermal-cells-lysate,"[""ExplainedWe don't have a description for Sheep Dermal Cells Lysate.""]",[]
23705,shark-lipids,"[""ExplainedWe don't have a description for Shark Lipids.""]",[]
23706,dihydroisojasmone,['ExplainedDihydroisojasmone is a fragrance.'],[]
23707,sialyllactose,"[""ExplainedWe don't have a description for Sialyllactose.""]",[]
23708,tris-buffered-saline,"[""ExplainedWe don't have a description for Tris Buffered Saline.""]",[]
23709,sigesbeckia-glabrescens-extract,"[""ExplainedWe don't have a description for Sigesbeckia Glabrescens Extract.""]",[]
23710,silanetriol-glutamate,"[""ExplainedWe don't have a description for Silanetriol Glutamate.""]",[]
23711,silanetriol-arginate,"[""ExplainedWe don't have a description for Silanetriol Arginate.""]",[]
23712,silene-uniflora-flower-leaf-extract,"[""ExplainedWe don't have a description for Silene Uniflora Flower/Leaf Extract.""]",[]
23713,silicone-quaternium-11,"[""ExplainedWe don't have a description for Silicone Quaternium-11.""]",[]
23714,silkworm-rh-oligopeptide-2,['ExplainedSilkworm Rh-Oligopeptide-2 is a peptide.'],[]
23715,silicone-quaternium-12,"[""ExplainedWe don't have a description for Silicone Quaternium-12.""]",[]
23716,silicone-quaternium-29,"[""ExplainedWe don't have a description for Silicone Quaternium-29.""]",[]
23717,silicone-quaternium-9,"[""ExplainedWe don't have a description for Silicone Quaternium-9.""]",[]
23718,silver-benzoate,"[""ExplainedWe don't have a description for Silver Benzoate.""]",[]
23719,peg-20-cocamine,"[""ExplainedWe don't have a description for Peg-20 Cocamine.""]",[]
23720,silkworm-sh-oligopeptide-2,['ExplainedSilkworm Sh-Oligopeptide-2 is a peptide.'],[]
23721,butyl-salicylate,['ExplainedButyl Salicylate is a fragrance.'],[]
23722,disodium-cocamido-mipa-peg-4-sulfosuccinate,"[""ExplainedWe don't have a description for Disodium Cocamido Mipa Peg-4 Sulfosuccinate.""]",[]
23723,peg-20-dioleate,"[""ExplainedWe don't have a description for Peg-20 Dioleate.""]",[]
23724,silver-lactate,"[""ExplainedWe don't have a description for Silver Lactate.""]",[]
23725,silver-nitrate,"[""ExplainedWe don't have a description for Silver Nitrate.""]",[]
23726,sodium-stearoyl-dna,"[""ExplainedWe don't have a description for Sodium Stearoyl Dna.""]",[]
23727,siloxanetriol-phytate,"[""ExplainedWe don't have a description for Siloxanetriol Phytate.""]",[]
23728,silkworm-frass,['ExplainedSilkworm Frass is an exfoliant.'],[]
23729,peg-40-ppg-8-methylaminopropyl-hydroxypropyl-dimethicone-copolymer,"[""ExplainedWe don't have a description for Peg-40/Ppg-8 Methylaminopropyl/Hydroxypropyl Dimethicone Copolymer.""]",[]
23730,schizochytrium-limacinum-oil,['ExplainedSchizochytrium Limacinum Oil is an antioxidant and is an oil.'],[]
23731,rosmarinus-officinalis-callus-extract,['ExplainedRosmarinus Officinalis Callus Extract is an antioxidant.'],[]
23732,c4-5-isoalkyl-cocoate,"[""ExplainedWe don't have a description for C4-5 Isoalkyl Cocoate.""]",[]
